-13.3394,-61.0501,-0.026868
-13.3394,-61.0501,-0.022062
-13.3394,-61.0501,-0.018171
-13.3394,-61.0501,-0.01507
-13.3394,-61.0501,-0.012631
-13.3394,-61.0501,-0.010731
-13.3394,-61.0501,-0.009264
-13.3394,-61.0501,-0.008139
-13.3394,-61.0501,-0.007281
-13.3394,-61.0501,-0.006631
-13.3383,-61.0501,-0.005794
-13.3195,-61.0504,-0.005817
-13.2834,-61.0509,-0.005967
-13.2359,-61.0516,-0.006068
-13.1798,-61.0511,-0.00611
-13.1179,-61.0513,-0.00609
-13.0481,-61.0517,-0.00607
-12.9713,-61.0521,-0.006039
-12.8862,-61.0525,-0.006028
-12.7952,-61.0529,-0.005986
-12.6997,-61.0534,-0.005915
-12.5984,-61.0538,-0.005859
-12.4902,-61.0543,-0.005835
-12.374,-61.0548,-0.005842
-12.249,-61.0554,-0.005875
-12.1146,-61.0559,-0.005927
-11.9701,-61.0548,-0.00599
-11.8151,-61.0544,-0.006046
-11.6492,-61.0543,-0.006123
-11.472,-61.0542,-0.006207
-11.2832,-61.054,-0.006285
-11.0835,-61.0539,-0.006343
-10.8733,-61.0537,-0.00638
-10.653,-61.0535,-0.006399
-10.4227,-61.0533,-0.006406
-10.1824,-61.0518,-0.006396
-9.93218,-61.0508,-0.006278
-9.67209,-61.0501,-0.006127
-9.40966,-61.0493,-0.005925
-9.1502,-61.0484,-0.005653
-8.89141,-61.0476,-0.005418
-8.632,-61.0457,-0.00524
-8.37199,-61.044,-0.005085
-8.11224,-61.0426,-0.004965
-7.83449,-61.041,-0.005227
-7.53003,-61.0392,-0.005685
-7.21431,-61.0373,-0.005939
-6.88762,-61.0342,-0.00608
-6.55017,-61.0312,-0.006138
-6.20583,-61.0285,-0.006112
-5.86089,-61.0257,-0.005951
-5.51914,-61.0228,-0.00569
-5.18224,-61.0192,-0.005378
-4.85183,-61.0158,-0.005044
-4.52755,-61.0125,-0.004756
-4.20924,-61.0094,-0.004521
-3.89488,-61.0061,-0.004366
-3.58268,-61.0029,-0.004288
-3.26989,-60.9996,-0.004295
-2.95486,-60.9962,-0.004362
