0.5,0,0
0.682006,0,0
0.819083,0,0
0.938487,-1.19403e-07,0
1.04659,-2.27503e-07,0
1.16115,-3.42072e-07,0
1.45641,-9.32582e-07,0
1.71493,-1.44963e-06,0
1.81984,-1.65943e-06,0
2.04145,-2.10266e-06,0
2.3711,-0.000589874,0
2.87096,-0.0126187,0
3.37064,-0.0305798,0
3.86995,-0.0567399,0
4.36925,-0.0832465,0
4.81681,-0.106233,0
5.28346,-0.139356,0
5.67561,-0.17269,0
6.14275,-0.223941,0
6.5431,-0.273046,0
6.88248,-0.31924,0
7.23901,-0.372439,0
7.64883,-0.438971,0
8.1079,-0.519315,0
8.59933,-0.611511,0
9.09061,-0.704483,0
9.58331,-0.789591,0
10.0759,-0.875427,0
10.5681,-0.963348,0
11.0601,-1.05267,0
11.5518,-1.14325,0
12.0433,-1.23508,0
12.5346,-1.32804,0
13.0256,-1.42203,0
13.5166,-1.51693,0
14.0092,-1.60244,0
14.5022,-1.6856,0
14.9956,-1.76665,0
15.3728,-1.82745,0
15.6615,-1.87315,0
15.9729,-1.92178,0
16.281,-1.96448,0
16.5897,-2.00367,0
16.8985,-2.04102,0
17.3952,-2.09886,0
17.892,-2.15471,0
18.3891,-2.20875,0
18.8872,-2.25266,0
19.3858,-2.29016,0
19.8846,-2.32472,0
20.2411,-2.34789,0
20.561,-2.36748,0
20.9116,-2.38365,0
21.3759,-2.4003,0
21.8527,-2.41489,0
22.2933,-2.42687,0
22.7326,-2.43748,0
23.1275,-2.44599,0
23.4385,-2.452,0
23.7507,-2.45671,0
24.0955,-2.46086,0
24.491,-2.46486,0
24.956,-2.46884,0
25.4023,-2.47208,0
25.753,-2.47933,0
26.0908,-2.48915,0
26.4367,-2.50022,0
26.8913,-2.51535,0
27.2749,-2.52859,0
27.7748,-2.54099,0
28.1989,-2.56585,0
28.5096,-2.58147,0
28.8858,-2.61687,0
29.3573,-2.65874,0
29.7984,-2.71742,0
30.1615,-2.75923,0
30.4689,-2.80717,0
30.8636,-2.85948,0
31.3572,-2.9391,0
31.8513,-3.01552,0
32.1971,-3.08389,0
32.5446,-3.14559,0
32.836,-3.20803,0
33.2073,-3.27892,0
33.6389,-3.37482,0
34.0579,-3.46009,0
34.4089,-3.54516,0
34.7429,-3.61722,0
35.1368,-3.71625,0
35.5475,-3.80664,0
35.9716,-3.91542,0
36.365,-4.00546,0
36.694,-4.09436,0
37.0004,-4.17007,0
37.3298,-4.26204,0
37.7517,-4.36805,0
38.1878,-4.4901,0
38.5769,-4.58869,0
38.867,-4.67306,0
39.1858,-4.75629,0
39.5761,-4.87184,0
39.9609,-4.97259,0
40.3961,-5.10239,0
40.7574,-5.1996,0
41.0648,-5.29411,0
41.3648,-5.37854,0
41.7232,-5.49079,0
42.1658,-5.61648,0
42.6356,-5.76299,0
43.0895,-5.89041,0
43.4167,-5.99392,0
43.8107,-6.10652,0
44.1643,-6.21992,0
44.5374,-6.32632,0
44.9611,-6.46253,0
45.35,-6.5756,0
45.6672,-6.67958,0
45.9933,-6.77753,0
46.319,-6.88576,0
46.753,-7.01709,0
47.2149,-7.16977,0
47.6757,-7.30746,0
