11.685906,5743.328613,24363.138672,329.470734,0.000542,0.000000,-0.000000
11.735906,-3.264689,0.000000,8.839866,0.001981,-0.000000,0.000000
11.785906,-3.298705,0.000000,8.874516,-0.001418,0.000001,0.000000
11.835906,-3.255301,0.000000,8.921061,0.000421,-0.000000,-0.000001
11.885906,-3.306156,0.000000,8.969807,-0.000654,0.000000,0.000000
11.935906,-3.365148,0.000000,9.015764,0.000052,-0.000000,-0.000000
11.985906,-3.433815,0.000000,9.055700,-0.001183,-0.000001,-0.000001
12.035906,-3.269166,0.000000,9.089765,0.000402,0.000000,0.000000
12.085906,-3.316012,0.000000,9.117955,0.002071,-0.000001,-0.000000
12.135906,-3.475377,0.000000,9.140273,-0.000041,0.000001,0.000000
12.235906,-3.108123,0.012146,9.260796,-0.001392,-0.010828,-0.001781
12.285906,1.241339,0.004377,10.834653,-0.012545,-0.035079,-0.022277
12.335906,2.568439,-0.109918,11.377534,-0.008060,-0.033430,-0.011870
12.385906,1.609250,-0.283649,11.023573,-0.007741,-0.019174,-0.016414
12.435906,0.580231,-0.299057,10.667081,0.009613,-0.009894,-0.000694
12.485906,-0.308407,0.533237,10.279815,-0.003736,-0.001733,0.001723
12.535906,-0.312062,-0.167448,10.337986,-0.009698,-0.002900,-0.019547
12.585906,-0.566039,-0.146669,10.249139,-0.005702,0.002012,-0.013937
12.635906,-0.276586,-0.027929,10.318439,-0.011222,-0.003788,-0.024475
12.685906,-0.700502,-0.080047,10.149736,-0.003215,0.003696,-0.012771
12.735906,-1.401031,-0.019977,9.940724,-0.006120,0.005090,-0.013239
12.785906,-1.123899,-0.018821,9.974719,-0.004795,0.003287,-0.012832
12.835906,-0.828257,-0.013588,10.104261,-0.006163,0.000229,-0.012829
12.885906,-0.696538,-0.020296,10.227506,-0.005797,-0.002158,-0.012313
12.935906,-0.237307,-0.014179,10.357521,-0.004764,-0.004409,-0.012195
12.985906,0.175181,-0.019983,10.458394,-0.003408,-0.005636,-0.011634
13.035906,0.409627,-0.197201,10.559675,0.017973,-0.006665,0.015982
13.085906,0.777335,0.872953,10.633245,-0.007303,-0.006984,-0.001477
13.135906,0.732210,-0.115687,10.694169,-0.004386,-0.007282,-0.004234
13.185906,1.028785,-0.170675,10.756572,-0.002596,-0.007246,-0.002846
13.235906,1.192875,-0.045461,10.804845,-0.000013,-0.006348,-0.002564
13.285906,0.939826,-0.009752,10.761106,-0.000903,-0.004285,-0.002531
13.335906,0.734524,-0.018988,10.697680,-0.001458,-0.002397,-0.002312
13.385906,0.671672,-0.010834,10.647705,-0.001976,-0.001068,-0.002082
13.435906,0.435455,-0.000310,10.614724,0.000807,-0.000287,-0.001864
13.485906,0.614036,-0.156797,10.600238,0.015730,0.000233,0.019094
13.535906,0.334054,0.702822,10.623050,-0.004237,0.000294,0.004767
13.585906,0.516087,-0.074011,10.582318,-0.001500,0.001562,0.004273
13.635906,-1.346812,-0.171989,9.920700,0.000114,0.021337,0.003021
13.685906,-3.600553,-0.035573,9.129215,0.002783,0.026091,0.002823
13.735906,-3.717231,0.022096,9.088015,0.001108,0.020803,0.002016
13.785906,-3.436940,-0.169942,9.159496,0.013593,0.016403,0.017295
13.835906,-3.265336,0.591764,9.215000,0.000121,0.012869,0.011373
13.885906,-3.572403,0.066400,9.131539,0.000963,0.012765,0.005961
13.935906,0.517906,-0.124224,10.641007,-0.000019,-0.044064,0.004381
13.985906,5.302949,-0.048439,12.287945,-0.000776,-0.030924,0.004028
14.035906,2.583898,0.010957,11.296101,0.002168,-0.017084,0.003627
14.085906,1.607766,-0.175354,11.003472,0.016565,-0.009779,0.020376
14.135906,1.387544,0.640535,10.863136,0.001771,-0.004124,0.012864
14.185906,0.098814,0.078920,10.437044,-0.000087,0.008695,0.005881
14.235906,-1.938600,-0.148450,9.720078,0.000098,0.021004,0.004280
14.285906,-3.779475,-0.046382,9.075247,-0.000139,0.029041,0.003729
14.335906,-4.735085,-0.111578,8.691872,0.010617,0.029765,0.015090
14.385906,-5.727897,0.442829,8.368889,0.001841,0.031175,0.010235
14.435906,-5.916159,0.076763,8.282462,-0.000907,0.024290,0.005267
14.485906,-5.800800,-0.103107,8.265162,0.000988,0.021690,0.003395
14.535906,-5.513000,-0.041022,8.456785,0.001966,0.010947,0.003035
14.585906,-4.917253,0.006812,8.703182,0.001207,0.005895,0.002582
14.635906,-3.643884,0.008738,9.058216,-0.000205,-0.004113,0.002246
14.685906,-2.954637,-0.022345,9.357001,0.001367,-0.007289,0.004238
14.735906,-2.014860,0.097535,9.677005,-0.001881,-0.013701,0.003049
14.785906,-1.334554,0.012288,9.907944,-0.000649,-0.014244,0.001917
14.835906,-0.804145,-0.022276,10.120260,0.000865,-0.015824,0.001557
14.885906,-1.107168,-0.005258,10.049526,-0.000327,-0.008203,0.001319
14.935906,-2.013550,0.148661,9.690022,-0.013151,0.001393,-0.013433
14.985906,-3.740365,-0.529225,9.118057,-0.002334,0.012643,-0.008396
15.035906,-4.571833,-0.083651,8.766965,0.002490,0.013402,-0.002928
15.085906,-5.391978,0.127022,8.574021,-0.000080,0.016625,-0.001282
15.135906,-5.161024,0.058099,8.531971,-0.000263,0.011438,-0.001204
15.185906,-5.785003,0.950216,8.517396,-0.014913,0.002613,0.009670
15.235906,-4.885646,-0.354262,8.790080,0.022948,0.014483,-0.034114
15.285906,-2.004661,-1.670780,9.361214,0.009078,-0.011497,0.008318
15.335906,-2.056560,0.763306,9.713717,-0.013736,-0.011359,-0.043587
15.385906,-1.224066,0.284815,10.092433,-0.004036,-0.020012,0.005213
15.435906,-1.140817,-0.368317,10.036322,-0.013323,-0.006446,-0.043749
15.485906,-1.718551,-0.067236,9.780646,0.010780,-0.005454,0.017566
15.535906,-3.628195,0.230199,9.101951,-0.016019,0.015486,-0.040047
15.585906,-4.865783,-0.040209,8.740173,0.008566,0.009729,0.022958
15.635906,-4.240595,2.241819,9.185094,-0.039734,0.034559,-0.028176
15.685906,-6.391009,-3.657088,7.688365,0.014216,-0.001421,0.006495
15.735906,-4.925011,0.595937,8.613077,-0.012793,0.006558,-0.041750
15.785906,-3.593648,0.177714,9.150239,0.011080,-0.009084,0.019438
